,Year_Reported,Account_Number,Organization,City,Country,CDP_Region,Reporting_Authority,Access,City_emissions_invent,Accounting_year,Admin_city_boundary,Invent_boundary_to_Admini_city_boundary,Primary_Protocol,Protocol_Comment,Common_Reporting_Format,Gases_Included,Direct_emissions_1,Direct_emissions_2,Indirect_emissions_1,Indirect_emissions_2,Emissions_occurring_outside_1,Emissions_occurring_outside_2,TOTAL_Scope_1,TOTAL_Scope_2,TOTAL_Scope_3,TOTAL_Scope_1_2,TOTAL_Scope_1_2_3,Change_in_emissions,Reason_for_change,Land_area_km,Population,Population_Year,City_Location,Last_update.,Scope1,Scope2,Scope3,Outside_City,long,lat,City.Location
1188,2020,54327,Semarang City Government,Semarang City Government,Indonesia,Southeast Asia and Oceania,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CH4 CO2 N20,0,0,0,0,0,0,4127286.89,0,0,0,4127286.89,Decreased,Behavioural change,373.7,1674358,2019,,20210716T020337903,4127286.89,0,0,0,,,
1189,2020,31154,Bogot Distrito Capital,Bogot Distrito Capital,Colombia,Latin America,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Se siguieron las orientaciones descritas en el ÉProtocolo Global para Inventarios de Emisin de Gases de Efecto Invernadero a Escala Comunitaria GPCÉù y tambin se tuvieron en cuenta y emplearon las ecuaciones de las ÉDirectrices para la elaboracin de Inventarios nacionales de GEI del IPCC  2006Éù Para el clculo y reporte se emple la herramienta CIRIS,Yes,CH4 CO2 N20,0,10402437,0,1019287,0,1,0,0,0,0,11421725,Decreased,Change in accounting methodology,1605,7333415,2017,740721 4711,20210716T020337903,10402437,0,1019287,1,-74.0721,4.711,-74.0721 4.711
1191,2020,44077,Kampala City,Kampala City,Uganda,Africa,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The IPCC 2006 guidelines methodologies for estimation were used,Unknown,CH4 CO2 N20,0,3055230.86,0,0,0,657900,0,0,0,0,3713130.86,This is our first year of calculation,,192,1631210,2018,,20210716T020337903,3055230.86,0,0,657900,,,
1192,2020,54386,Tainan City Government,Tainan City Government,Taiwan Greater China,East Asia,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,In addition to IEAP we also use the GPC and Guide for GHG inventory of Taiwan to calculate the GHG emission,Yes,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,7258677,0,14096815,0,49726,0,0,0,0,21405218,Decreased,Behavioural change,2191.65,1880906,2019,120227 229999,20210716T020337903,7258677,0,14096815,49726,120.227,22.9999,120.227 22.9999
1194,2020,60419,Municipalidad de Rio Grande,Municipalidad de Rio Grande,Argentina,Latin America,Unknown,public,Yes,20150101  20151231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,981954,0,0,810086,981954,Do not know,,938,88741,2019,677002 53786,20210716T020337903,981954,0,0,0,-67.7002,-53.786,-121.4862
1198,2020,59537,City of Denton TX,City of Denton TX,United States of America,North America,Unknown,public,Yes,20171001  20180930,City  Municipality,Same  covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Since 2006 the City has utilized software developed and endorsed by ICLEI Local Governments for Sustainability ICLEI and partners including the National Association of Clean Air Agencies NACAA and the US Environmental Protection Agency USEPA  The software has been updated over time to reflect current scientific understanding and to remain consistent with the latest inventory protocols Since 2011 the City has used ICLEIÉs webbased ClearPath software which allows for efficient protocol updates technical support and improved forecasting and planning strategies Data pertaining to energy use fuel consumption and waste is gathered from City departments community agencies and service providers and entered into the software to generate GHG inventories for both municipal operations and for the community as a whole The software uses the latest methods and emissions factors to translate this data into equivalent CO2 emissions,Unknown,CH4 CO2 N20,0,0,0,0,0,0,1021228,452359,24051,0,1497638,Decreased,Other please specify Increased Renewable Energy,231.3,141541,2019,971331 332148,20210716T020337903,1021228,452359,24051,0,-97.1331,33.2148,-97.1331 33.2148
1199,2020,848137,Beteitiva,Beteitiva,Colombia,Latin America,Unknown,public,Yes,20190101  20191231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,12252.57,106.97,58.53,3639.89,12418.07,This is our first year of calculation,,124,1474,2020,,20210716T020337903,12252.57,106.97,58.53,0,,,
1201,2020,59998,Narayanganj City Corporation,Narayanganj City Corporation,Bangladesh,South and West Asia,Unknown,public,Yes,20180701  20190630,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,454136.78,0,615995.28,0,0,0,0,0,0,1070132.06,This is our first year of calculation,,72.43,709336,2011,,20210716T020337903,454136.78,0,615995.28,0,,,
1202,2020,848484,General Lagos,General Lagos,Argentina,Latin America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Se emplea  herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas Excel,Yes,CH4 CO2 N20,0,18856.69,0,3093.82,0,662.05,0,0,0,0,22612.56,This is our first year of calculation,Other please specify Aßn  no se cuenta con una sucesin de inventarios que permitan comparar y observar tendencias Se espera poder realizar en el corto plazo una actualizacin del inventario de emisiones a escala comunitaria con aÒo base 2018,38,4865,2018,,20210716T020337903,18856.69,0,3093.82,662.05,,,
1204,2020,73706,City of Alameda,City of Alameda,United States of America,North America,Unknown,public,Yes,20190101  20191231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,409039,0,0,0,0,0,0,0,0,409039,Increased,Increased energyelectricity consumption,27.48,75961,2017,122163 374522,20210716T020337903,409039,0,0,0,-122.163,37.4522,122.163 37.4522
1205,2020,32480,City of Adelaide,City of Adelaide,Australia,Southeast Asia and Oceania,Unknown,public,Yes,20170701  20180630,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,FY 1819 and FY 1920 citywide GHG inventories are currently  being developed but will not be completed in time for 2020 CDP reporting,Yes,CH4 CO2 HFCs N20 PFCs SF6,0,240706.57,0,377745.08,0,316574.35,0,0,0,0,935026,Stayed the same,No new inventory to report,16,24807,2018,138601 349285,20210716T020337903,240706.57,0,377745.08,316574.35,138.601,-34.9285,138.601 -34.9285
1209,2020,31090,District of Columbia,District of Columbia,United States of America,North America,Unknown,public,Yes,20180101  20181231,Federal district,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,We use the ICLEI ClearPath tool but have converted to GPC for this reporting,Yes,CH4 CO2 N20,0,3441161,0,3692706,0,557427,0,0,0,0,7691294,Decreased,Other please specify Greening of regional electric grid,158,701547,2018,770369 389072,20210716T020337903,3441161,0,3692706,557427,-77.0369,38.9072,-77.0369 38.9072
1210,2020,50378,Municipalidad de San Jos,Municipalidad de San Jos,Costa Rica,Latin America,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,Regional or country specific methodology,Programa Pas Carbono Neutralidad 20 en su categora Cantonal La cual est basada en el GPC y algunas guas del IPCC  Ver httpscambioclimaticogocrmetasdescarbonizacion,Unknown,CH4 CO2 N20,0,988330.85,0,49328.95,0,79127.72,0,0,0,0,1116787.52,Increased,Change in accounting methodology,44.62,344851,2019,99326 840796,20210716T020337903,988330.85,0,49328.95,79127.72,-84.0796,9.9326,9.9326 -84.0796
1211,2020,49335,Metropolitan Government of Nashville and Davidson County,Metropolitan Government of Nashville and Davidson County,United States of America,North America,Unknown,public,Yes,20170101  20171231,Province  County,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,7072772.9,0,3999087.23,0,358894.33,0,0,0,0,11430754.46,Decreased,Other please specify The TVANES emissions factor decreased by 17 from 2014 to 2017,1367,692587,2018,867816 361627,20210716T020337903,7072772.9,0,3999087.23,358894.33,-86.7816,36.1627,-86.7816 36.1627
1212,2020,59558,City of Holland MI,City of Holland MI,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,ICLEI Calculator 2010 2015 2018,Unknown,CH4 CO2 N20,0,0,0,0,0,0,267217,351152,7033,0,625402,Decreased,Other please specify,44.0298,33216,2019,,20210716T020337903,267217,351152,7033,0,,,
1214,2020,58621,Town of Blacksburg,Town of Blacksburg,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Smaller  covers only part of the city,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Town of Blacksburg community green house gas inventory according to the ICLEI US community protocol,Unknown,CH4 CO2 N20,0,389004.62,0,0,0,0,0,0,0,0,389004.62,Increased,Other please specify Increase in degree days weather and change in electricity fuel mix,51.02,44678,2018,804139 372296,20210716T020337903,389004.62,0,0,0,-80.4139,37.2296,-80.4139 37.2296
1215,2020,54311,Thane Municipal Corporation,Thane Municipal Corporation,India,South and West Asia,Unknown,public,Yes,20170401  20180331,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,848850.26,0,1438746,0,0,0,0,0,0,2287596.26,This is our first year of calculation,,128.23,2281692,2018,,20210716T020337903,848850.26,0,1438746,0,,,
1217,2020,50572,City of Saint Paul MN,City of Saint Paul MN,United States of America,North America,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Its also categorized according to  the Global Protocol GPC,Unknown,CH4 CO2 N20,0,3170866.16,0,1050968.47,0,557080.52,0,0,0,0,4778915.15,Do not know,Lack of documentation,51.97,315000,2020,9309 449537,20210716T020337903,3170866.16,0,1050968.47,557080.52,-93.09,44.9537,-93.09 44.9537
1221,2020,848469,City of Georgetown,City of Georgetown,Guyana,Latin America,Unknown,public,Yes,20160101  20161231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,BASIC,Yes,CH4 CO2 N20,239516,544925,0,317391,0,52818,0,0,0,0,1154650,This is our first year of calculation,,70,133000,2020,,20210716T020337903,784441,0,317391,52818,,,
1222,2020,73668,Malabrigo,Malabrigo,Argentina,Latin America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,71366.09,0,3640.53,0,658.74,0,0,0,0,75665.36,Increased,Other please specify,450,7620,2018,,20210716T020337903,71366.09,0,3640.53,658.74,,,
1224,2020,31171,Ayuntamiento de Madrid,Ayuntamiento de Madrid,Spain,Europe,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 PFCs SF6,0,0,0,0,0,0,6778709,3602401,401959,9738746,10783069,Increased,Other please specify Reduction of emissions at National Electricity Grid  Scale,604.4552,3266126,2019,338756 401076,20210716T020337903,6778709,3602401,401959,0,-3.38756,40.1076,-3.38756 40.1076
1226,2020,46470,Ayuntamiento de VitoriaGasteiz,Ayuntamiento de VitoriaGasteiz,Spain,Europe,Unknown,public,Yes,20180101  20181231,City  Municipality,Larger  covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CH4 CO2 N20,0,561044,0,165147,0,1664,0,0,0,0,727855,Decreased,Policy change,276.8,252574,2019,267 4284,20210716T020337903,561044,0,165147,1664,-2.67,42.84,-2.67 42.84
1229,2020,31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,Unknown,public,Yes,20190101  20191231,Independent province Local government area within a citymetropolitian area,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,City of Melbournes GPC profile includes scope 1 2 and 3 emissions from stationary energy transportation and waste and upstream scope 3 emissions from electricity natural gas gas distribution and transport fuels Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts Electricity and gas data was provided by utility operators by postcode and market segment domestic commercial industrial While best available variations and discrepancies in the data are common from year to year Emissions from private vehicle use were estimated using a transport model built by Council using reliable traffic count data from State government agencies apportioned across vehicle class and fuel type based on survey data collected by the Australian Bureau of Statistics Emissions from trams and trains estimated based on vehicle kilometers traveled timetable frequency x track length and energy and CO2e per km figures provided by transport operators Emissions from waterbourne transport estimated based on actual shipping movement data annual tonnages and time in port The amount of waste produced within the municipality was estimated from a waste study undertaken in 2017 which includes MSW volume data provided directly by waste contractors,Yes,CH4 CO2 N20,0,993193.74,0,3396147.81,0,603188.08,0,0,0,0,4992529.63,Decreased,Other please specify More renewable energy has entered the system,37.7,178955,2019,144963 378141,20210716T020337903,993193.74,0,3396147.81,603188.08,144.963,-37.8141,144.963 -37.8141
1231,2020,59985,City of Puerto Princesa,City of Puerto Princesa,Philippines,Southeast Asia and Oceania,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Regional or country specific methodology,The National GHG Inventory Manual ÉTracking Greenhouse Gases An Inventory ManualÉù developed by the Philippine Climate Change Commission served as a main reference in developing the citylevel GHG inventory The said manual also made references to international standards and methodologies including the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and the Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,CH4 CO2 N20,0,0,0,119850.57,0,0,0,0,0,0,119850.57,This is our first year of calculation,,2193.39,255116,2015,11873 974069,20210716T020337903,0,0,119850.57,0,118.73,9.74069,118.73 9.74069
1232,2020,31181,City of Philadelphia,City of Philadelphia,United States of America,North America,Unknown,public,Yes,20160101  20161231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Philadelphia uses both BASIC and BASIC categories,Yes,CH4 CO2 N20 SF6,0,9050464.4,0,4878979.15,0,865121.74,0,0,0,0,14794565.29,Decreased,Other please specify,367,1555072,2015,751638 399523,20210716T020337903,9050464.4,0,4878979.15,865121.74,-75.1638,39.9523,-75.1638 39.9523
1233,2020,44191,Ansan City,Ansan City,Republic of Korea,East Asia,Unknown,public,Yes,20160101  20161231,Local government area within a greater city  metropolitan area,Same  covers entire city and nothing else,Other please specify Guidelines for calculating greenhouse gas emissions by local governments ver 41,Guidelines for calculating greenhouse gas emissions by local governmentsver 41 The Korea Environment Corporation calculated the overall inventory emissions based on the Guidelines for Estimating GHG Emissions by Local Governments,Unknown,CH4 CO2 HFCs N20 SF6,0,4084525,0,0,0,5064239,0,0,0,0,9148764,This is our first year of calculation,,155,707385,2019,,20210716T020337903,4084525,0,0,5064239,,,
1237,2020,35268,City of Boston,City of Boston,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,For its inventory the City of Boston relies on a mix of actual measurements and modeled calculations Actual measurements are available for electricity natural gas and steam obtained directly from energy utilities and all sources related to mass transit the airport and water and sewer obtained from the regional authorities Regional transportation models are used to calculate vehiclemilestraveled in Boston which are then split into diesel and gasoline based on the State diesel and gas consumption split Then each fuel type is divided into the average fleet mix categories ICLEI 2009 and the EPA emissions factor for each vehicle type are applied to calculate the GHG Fuel oil consumption is estimated based on sampling US Census data and some state consumption figures,Yes,CH4 CO2 N20,0,4172502,0,2193811,0,0,0,0,0,0,6366313,Increased,Other please specify,231.14,695926,2018,710598 423584,20210716T020337903,4172502,0,2193811,0,-71.0598,42.3584,-71.0598 42.3584
1239,2020,834373,Town of York ME,Town of York ME,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Using ICLEIs ClearPath system converted to CRF,Yes,CH4 CO2 N20,0,186723,0,30151,0,0,0,0,0,0,216874,This is our first year of calculation,,141.5946,13151,2018,,20210716T020337903,186723,0,30151,0,,,
1240,2020,834157,Hang Tuah Jaya Municipal Council,Hang Tuah Jaya Municipal Council,Malaysia,Southeast Asia and Oceania,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,0,613412.85,0,0,0,0,0,0,0,613412.85,This is our first year of calculation,Lack of resource  funding overcome,144.6,190529,2019,,20210716T020337903,0,613412.85,0,0,,,
1241,2020,54305,Rajkot Municipal Corporation,Rajkot Municipal Corporation,India,South and West Asia,Unknown,public,Yes,20160401  20170331,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,1071236,0,998936,0,0,0,0,0,0,2070172,Increased,Increased energyelectricity consumption,129.21,1597081,2016,,20210716T020337903,1071236,0,998936,0,,,
1242,2020,50357,Ciudad de Mendoza,Ciudad de Mendoza,Argentina,Latin America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentina,Yes,CH4 CO2 N20,0,491377.99,0,115066.88,0,123154.98,0,0,0,0,729599.85,Increased,Increased energyelectricity consumption,106.07,115041,2010,688458 328894,20210716T020337903,491377.99,0,115066.88,123154.98,-68.8458,-32.8894,-101.7352
1243,2020,73666,Cuyahoga County,Cuyahoga County,United States of America,North America,Unknown,public,Yes,20180101  20181231,Province  County,Same  covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Unknown,Unknown,CH4 CO2 N20,129198,16809805,0,6577625,0,769210,0,0,0,0,24285838,Increased,Other please specify Increase usage of stationary energy for 2018,3226.06329,1241718,2018,,20210716T020337903,16939003,0,6577625,769210,,,
1244,2020,841491,Muar Municipal Council,Muar Municipal Council,Malaysia,Southeast Asia and Oceania,Unknown,public,Yes,20170101  20171231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,866469,0,753875,0,0,0,0,0,0,1620344,This is our first year of calculation,,1376,281500,2018,,20210716T020337903,866469,0,753875,0,,,
1246,2020,73712,Camilo Aldao,Camilo Aldao,Argentina,Latin America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,40446.9,0,2805.77,0,507.69,0,0,0,0,43760.36,Increased,Improved data accuracy,437,5209,2010,,20210716T020337903,40446.9,0,2805.77,507.69,,,
1248,2020,31169,Government of Hong Kong Special Administrative Region,Government of Hong Kong Special Administrative Region,China Hong Kong Special Administrative Region,East Asia,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,40142819,26250665,0,38880267,66393484,Increased,Other please specify Continual increase of amount and noninert portion of the waste disposed of at landfills,1107,7507400,2019,11414 222881,20210716T020337903,40142819,26250665,0,0,114.14,22.2881,114.14 22.2881
1249,2020,54620,Gobierno Municipal de la Ciudad de Paran,Gobierno Municipal de la Ciudad de Paran,Argentina,Latin America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,543166.99,0,159553.45,0,35545.01,0,0,0,0,738265.45,Decreased,Change in available data,137,260182,2018,,20210716T020337903,543166.99,0,159553.45,35545.01,,,
1250,2020,60906,Municipalidad de Vitacura,Municipalidad de Vitacura,Chile,Latin America,Unknown,public,Yes,20190101  20191231,City  Municipality,Smaller  covers only part of the city,Regional or country specific methodology,Metodologa Huella Chile,Unknown,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,561.54,0,3975,0,19941,0,0,0,0,24477.54,Decreased,Technological change,28.3,85,217,,20210716T020337903,561.54,0,3975,19941,,,
1252,2020,43911,City of Ottawa,City of Ottawa,Canada,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,5799445,0,133962,0,13996,0,0,0,0,5947403,Decreased,Technological change,2778,991429,2018,756972 454215,20210716T020337903,5799445,0,133962,13996,-75.6972,45.4215,-75.6972 45.4215
1257,2020,50551,City of Long Beach,City of Long Beach,United States of America,North America,Unknown,public,Yes,20150101  20151231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,1931098,2216935,0,707138,0,442099,0,0,0,0,5297270,This is our first year of calculation,,133.33,470130,2017,118194 337701,20210716T020337903,4148033,0,707138,442099,-118.194,33.7701,-118.194 33.7701
1259,2020,37241,City of Berkeley,City of Berkeley,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Smaller  covers only part of the city,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,490088.6,34512.42,17373.59,541974.61,541974.61,Decreased,Other please specify 2018 was the first year our local CCA started enrollment out to residential and commercial electricity customers which decreased the emissions from our grid electricity for most customers,27.117176,121643,2018,,20210716T020337903,490088.6,34512.42,17373.59,0,,,
1260,2020,56276,New Taipei City Government,New Taipei City Government,Taiwan Greater China,East Asia,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Since 2014 we inventoried GHG by using the method of GPC we also inventoried Guideline of GHG accounting and inventory issued by Taiwan EPA which mainly refer to the International Emissions Analysis Protocol ICLEI and 2006 IPCC Guidelines for National Greenhouse Gas Inventories We have finished 2018 GHG inventory and verified by British Standards InstitutionBSI Taiwan in July 2020,No,CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,7668037,11888033,795592,19464204,20351662,Decreased,Other please specify Decreased energyelectricity consumption,2052,4018696,19,121446 250111,20210716T020337903,7668037,11888033,795592,0,121.446,25.0111,121.446 25.0111
1261,2020,848964,Presidencia Roque Senz PeÒa,Presidencia Roque Senz PeÒa,Argentina,Latin America,Unknown,public,Yes,20160101  20161231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseÒada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,311132,0,82980.19,0,15373.05,0,0,0,0,409485.24,This is our first year of calculation,Other please specify,1500,103703,2016,,20210716T020337903,311132,0,82980.19,15373.05,,,
1262,2020,31174,Moscow Government,Moscow Government,Russian Federation,Europe,Unknown,public,Yes,20180101  20181231,Independent city,Same  covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Based on the Global Protocol for CommunityScale Greenhouse Gas Emission Inventories GPC standard and IPCC Guidelines 2006,Unknown,CH4 CO2 N20,36588066,16959120,0,37385358,0,571908,0,0,0,0,91504452,Decreased,Change in weather conditions,2561.5,12678079,2019,376173 557558,20210716T020337903,53547186,0,37385358,571908,37.6173,55.7558,37.6173 55.7558
1264,2020,50559,City of St Catharines ON,City of St Catharines ON,Canada,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,835585,0,18800,0,59923,0,0,0,0,914308,Decreased,Improved data accuracy,98,135520,2018,792469 431594,20210716T020337903,835585,0,18800,59923,-79.2469,43.1594,-79.2469 43.1594
1268,2020,31179,Gemeente Rotterdam,Gemeente Rotterdam,Netherlands,Europe,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,City specific methodology,Unknown,Unknown,CO2,13166736,16664532,0,0,0,0,0,0,0,0,29831268,Decreased,,21.757,638181,2018,445093 519164,20210716T020337903,29831268,0,0,0,4.45093,51.9164,4.45093 51.9164
1272,2020,50354,Alcalda de Tegucigalpa,Alcalda de Tegucigalpa,Honduras,Latin America,Unknown,public,Yes,20110101  20111231,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,5034286,0,0,1068686.46,5034286,Do not know,Other please specify the inventory is currently in the proces,1514.94,1225043,2017,872044 141051,20210716T020337903,5034286,0,0,0,-87.2044,14.1051,-87.2044 14.1051
1274,2020,54538,Bath and North East Somerset,Bath and North East Somerset,United Kingdom of Great Britain and Northern Ireland,Europe,Unknown,public,Yes,20170101  20171231,Local government area within a greater city  metropolitan area,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,536875.86,0,230002.18,0,186449.37,0,0,0,0,953327.41,Do not know,Lack of documentation,570,192106,2018,,20210716T020337903,536875.86,0,230002.18,186449.37,,,
1275,2020,58357,City of West Hollywood,City of West Hollywood,United States of America,North America,Unknown,public,Yes,20180101  20181231,City  Municipality,Same  covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Unknown,Unknown,CO2,0,221361,0,0,0,0,0,0,0,0,221361,Decreased,Improved data accuracy,1.92098,34399,2010,118362 3409,20210716T020337903,221361,0,0,0,-118.362,34.09,-118.362 34.09
1276,2020,59969,City of Mandurah,City of Mandurah,Australia,Southeast Asia and Oceania,Unknown,public,Yes,20180701  20190630,City  Municipality,Same  covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Emissions profile not inventory,No,CO2,0,0,0,0,0,0,941100,173400,0,0,1114500,This is our first year of calculation,,173.5,92594,2020,,20210716T020337903,941100,173400,0,0,,,
